Year	Hare	Lynx
1845	20	32
1847	20	50
1849	52	12
1851	83	10
1853	64	13
1855	68	36
1857	83	15
1859	12	12
1861	36	6
1863	150	6
1865	110	65
1867	60	70
1869	7	40
1871	10	9
1873	70	20
1875	100	34
1877	92	45
1879	70	40
1881	10	15
1883	11	15
1885	137	60
1887	137	80
1889	18	26
1891	22	18
1893	52	37
1895	83	50
1897	18	35
1899	10	12
1901	9	12
1903	65	25
1905	45	62
1907	30	49
1909	25	7
1911	27	7
1913	77	20
1915	25	43
1917	10	11
1919	10	6
1921	46	20
1923	80	37
1925	20	43
1927	8	50
1929	6	30
1931	6	15
1933	20	18
1935	83	40
1937	12	48
